timestamp,dataset,model,custom_cv_mean_accuracy,custom_cv_mean_f1_score,custom_cv_std_accuracy,custom_cv_std_f1_score,custom_cv_training_time,sklearn_cv_mean_accuracy,sklearn_cv_mean_f1_score,sklearn_cv_std_accuracy,sklearn_cv_std_f1_score,sklearn_cv_training_time
2025-05-17 01:49:05,mean_standard,SVCModel,0.833238391818813,0.7416077633394427,0.0112436035739046,0.0223866382194434,0.8898735046386719,0.8303206997084548,0.7385614035087719,0.0135998878013884,0.0195112680187561,0.9378204345703124
2025-05-17 01:49:36,mean_standard,CatBoostModel,0.94984367063839,0.9278246805549136,0.0068365143827037,0.0089184123514368,1.508540153503418,0.9510204081632654,0.9295137379372352,0.0092929314580228,0.0141335809716289,1.1469640731811523
2025-05-17 01:50:33,mean_standard,XGBoostModel,0.944007622283045,0.919318668200658,0.0092147020385828,0.0132639140747019,0.5155446529388428,0.9463556851311952,0.9231520235583396,0.0145889166218038,0.0217129768135602,0.5007984638214111
2025-05-17 01:50:52,mean_standard,RandomForestModel,0.9201229025736308,0.8777466510970271,0.0145506430252989,0.0262189581745059,1.1556501388549805,0.9300291545189504,0.8951135031317163,0.0115151123371029,0.0181764832492917,1.0847985744476318
2025-05-17 01:53:29,mean_standard,LogisticRegressionModel,0.8338299771735936,0.7561823194331116,0.0140287461408209,0.0190708011481085,0.0247395038604736,0.8349854227405249,0.7601649277549336,0.0154930965079724,0.0246834646486914,0.0219712257385253
2025-05-17 01:53:32,mean_standard,GaussianNBModel,0.7947456245422924,0.7063441299401265,0.0316412291771132,0.0389795020878499,0.0070016384124755,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0060009956359863
2025-05-17 01:53:33,mean_standard,QuadraticDiscriminantAnalysisModel,0.7900911410784516,0.7032511407873512,0.0101659762253019,0.0161323310749256,0.0220017433166503,0.7935860058309038,0.7075430851748276,0.0166359680672735,0.0266067789676181,0.0215072631835937
2025-05-17 01:53:40,mean_standard,VotingModel,0.8215917998603534,0.743951635168367,0.0178855489637843,0.0222347351143704,5.186677932739258,0.8221574344023322,0.7447141599863334,0.0132965064151503,0.0186864710274628,0.0714375972747802
2025-05-17 01:53:45,mean_standard,StackingModel,0.8373319392453606,0.7639780794185449,0.013779133568629,0.015742018484331,0.9586195945739746,0.8373177842565598,0.7630689554606345,0.0152497922222997,0.0280730905193621,0.9591519832611084
2025-05-17 01:54:03,median_standard,SVCModel,0.833238391818813,0.7416077633394427,0.0112436035739046,0.0223866382194434,0.8854048252105713,0.829737609329446,0.7373727730178158,0.0138721600622394,0.0206199769065041,1.1140754222869873
2025-05-17 01:54:26,median_standard,CatBoostModel,0.95218625189774,0.9312632829508432,0.0043655174142548,0.0055993789263445,1.2500557899475098,0.949854227405248,0.927669179088976,0.0106563655291528,0.0161739389943364,1.4155631065368652
2025-05-17 01:55:28,median_standard,XGBoostModel,0.9451789079564914,0.9211735743159049,0.0086026985793567,0.0120774722719479,0.4636275768280029,0.945189504373178,0.9215707746872386,0.0142111458973223,0.0207962657032941,0.497725248336792
2025-05-17 01:55:43,median_standard,RandomForestModel,0.9207008979496678,0.8788797239017005,0.0120007098227193,0.0224377212914137,1.2296767234802246,0.9294460641399418,0.8937331167649468,0.0138476292560209,0.0218002817432939,1.1051089763641355
2025-05-17 01:58:12,median_standard,LogisticRegressionModel,0.8338299771735936,0.7561823194331116,0.0140287461408209,0.0190708011481085,0.0239324569702148,0.8349854227405249,0.7601649277549336,0.0154930965079724,0.0246834646486914,0.0216126441955566
2025-05-17 01:58:14,median_standard,GaussianNBModel,0.7941642291934551,0.7058135718338109,0.0324738242593109,0.0398248092457336,0.0060186386108398,0.793002915451895,0.7031386725991843,0.0168995647185882,0.0198887075759591,0.0059988498687744
2025-05-17 01:58:16,median_standard,QuadraticDiscriminantAnalysisModel,0.7906929164391758,0.7068957224593587,0.0132517012182149,0.0161207074849981,0.0249989032745361,0.7900874635568513,0.7044371853436181,0.0236133606196112,0.0358124279987437,0.0230188369750976
2025-05-17 01:58:18,median_standard,VotingModel,0.8233291958737217,0.745724095109294,0.0132574146273401,0.01327688827029,0.0667569637298584,0.8134110787172013,0.731890501053919,0.0189840473423903,0.0274711266376688,0.0680606365203857
2025-05-17 01:58:23,median_standard,StackingModel,0.833824882170622,0.7579541537362272,0.0111081126987135,0.0111788477418994,1.020751953125,0.8367346938775511,0.762110941089623,0.0150929202397023,0.0273041655449095,0.8968710899353027
2025-05-17 01:58:40,impute_standard,SVCModel,0.8344045824892877,0.7430532632466317,0.0106163811077586,0.0208567835247774,0.8434386253356934,0.8309037900874635,0.738648486027065,0.016180101370859,0.0247684717866191,0.8955948352813721
2025-05-17 01:59:03,impute_standard,CatBoostModel,0.953350747538043,0.932821949319636,0.0032286112418998,0.0035738842878999,1.3013253211975098,0.9539358600583092,0.9335882026915474,0.0112764312570342,0.0170114405446883,1.4184763431549072
2025-05-17 02:00:05,impute_standard,XGBoostModel,0.9480858747882204,0.9250914019013312,0.0121027084365576,0.0177534252278614,0.4640760421752929,0.9492711370262392,0.9273029727272456,0.0138721600622394,0.0205095913023138,0.4675588607788086
2025-05-17 02:00:22,impute_standard,RandomForestModel,0.930618598782988,0.8956110109577248,0.0112456159287851,0.0201524445924481,1.223388910293579,0.926530612244898,0.8894452732201593,0.0138476292560209,0.0218877852932236,1.1277995109558103
