dataset,model,best_params,final_test_results-accuracy,final_test_results-f1_score,final_test_results-training_time
impute_standard,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": ""log2"", ""bootstrap"": true, ""criterion"": ""gini""}",0.955503512880562,0.9364548494983278,0.30766820907592773
mean_standard,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 8, ""min_samples_leaf"": 3, ""max_features"": ""log2"", ""bootstrap"": false, ""criterion"": ""entropy""}",0.955503512880562,0.9368770764119602,0.30069828033447266
