dataset,model,best_params,final_test_results-accuracy,final_test_results-f1_score,final_test_results-training_time
impute_minmax,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": null, ""bootstrap"": true, ""criterion"": ""gini""}",0.9531615925058547,0.9333333333333333,0.6964905261993408
impute_standard,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": null, ""bootstrap"": true, ""criterion"": ""gini""}",0.9531615925058547,0.9333333333333333,0.6898970603942871
mean_minmax,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": null, ""bootstrap"": true, ""criterion"": ""gini""}",0.9531615925058547,0.9333333333333333,0.6884341239929199
mean_standard,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": null, ""bootstrap"": true, ""criterion"": ""gini""}",0.9531615925058547,0.9333333333333333,0.8053703308105469
median_minmax,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": null, ""bootstrap"": true, ""criterion"": ""gini""}",0.9531615925058547,0.9333333333333333,0.6919183731079102
median_standard,RandomForestModel,"{""n_estimators"": 300, ""max_depth"": 16, ""min_samples_split"": 4, ""min_samples_leaf"": 1, ""max_features"": null, ""bootstrap"": true, ""criterion"": ""gini""}",0.9531615925058547,0.9333333333333333,0.6931354999542236
