dataset,model,best_params,final_test_results-accuracy,final_test_results-f1_score,final_test_results-training_time
impute_standard,StackingModel,"{""cv"": 7, ""lr_params"": {""C"": 1.0, ""max_iter"": 1000}, ""gnb_params"": {""var_smoothing"": 1e-08}, ""qda_params"": {""reg_param"": 0.2}, ""final_estimator_params"": {""n_estimators"": 100, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1}}",0.810304449648712,0.7290969899665551,0.22094082832336426
mean_standard,StackingModel,"{""cv"": 7, ""lr_params"": {""C"": 0.1, ""max_iter"": 1000}, ""gnb_params"": {""var_smoothing"": 1e-09}, ""qda_params"": {""reg_param"": 0.2}, ""final_estimator_params"": {""n_estimators"": 100, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 1}}",0.8126463700234192,0.7297297297297297,0.24881386756896973
